日期,備轉容量(MW)
2020/12/24,3545
2020/12/25,3418
2020/12/26,3066
2020/12/27,2869
2020/12/28,3135
2020/12/29,3094
2020/12/30,3118
2020/12/31,3154
2021/1/1,2767
2021/1/2,2936
2021/1/3,3037
2021/1/4,3032
2021/1/5,3067
2021/1/6,3102
2021/1/7,3102
2021/1/8,3105
2021/1/9,3202
2021/1/10,2906
2021/1/11,3093
2021/1/12,3116
2021/1/13,3114
2021/1/14,3132
2021/1/15,3310
2021/1/16,3046
2021/1/17,3035
2021/1/18,3157
2021/1/19,3159
2021/1/20,3149
2021/1/21,3074
2021/1/22,3097
2021/1/23,3203
2021/1/24,3073
2021/1/25,3269
2021/1/26,3219
2021/1/27,3064
2021/1/28,3286
2021/1/29,3203
2021/1/30,3447
2021/1/31,2906
2021/2/1,2938
2021/2/2,3045
2021/2/3,3006
2021/2/4,3132
2021/2/5,3060
2021/2/6,3066
2021/2/7,2763
2021/2/8,3047
2021/2/9,2880
2021/2/10,2888
2021/2/11,2833
2021/2/12,2992
2021/2/13,3024
2021/2/14,2911
2021/2/15,2645
2021/2/16,3002
2021/2/17,2824
2021/2/18,2907
2021/2/19,2885
2021/2/20,2975
2021/2/21,3139
2021/2/22,2989
2021/2/23,3109
2021/2/24,3049
2021/2/25,3029
2021/2/26,3041
2021/2/27,2758
2021/2/28,2672
2021/3/1,2832
2021/3/2,3221
2021/3/3,3075
2021/3/4,3088
2021/3/5,3268
2021/3/6,2805
2021/3/7,2752
2021/3/8,3110
2021/3/9,3048
2021/3/10,3055
2021/3/11,3077
2021/3/12,3272
2021/3/13,3075
2021/3/14,2933
2021/3/15,3074
2021/3/16,3087
2021/3/17,3183